"Timestamp";"age";"gender";"education";"living";"city";"income";"q2_1_waste";"q2_2_eco";"q2_3_energy";"q3_1_lamp";"q3_2_contribution";"q3_3_store";"q3_4_consumption";"q3_5_logic";"q4_1_friends";"q4_2_neighbors";"q4_3_opinion";"q5_1_barriers"
"21.01.2026 17:22";"26-28 лет";"Мужской";"Высшее (бакалавриат)";"С партнером/партнершей (без детей)";"Москва или Санкт-Петербург";"Можем позволить себе одежду, но не можем позволить себе дорогие товары";"Редко (несколько раз в год)";"Иногда";"Никогда";"Опция Б: LED лампочка за 200 рублей — сначала дороже, но экономит электричество (~5 руб. в год на счетах). За 10 лет окупится.";"Не согласен/не согласна";"Да, если я буду часто ходить туда и мне понравится ассортимент";"Покупаю новые вещи редко, но когда покупаю, выбираю качественные товары, которые долго служат";"Я выбираю на основе логики и расчётов (даже если LED-лампочка дороже, я посчитаю экономию за годы)";"Немного (10–30%)";"Очень вероятно — если все делают, то и я начну";"Слабо важно";"Нет инфраструктуры (баков для раздельного сбора в моем районе)"
"26.01.2026 13:20";"26-28 лет";"Женский";"Высшее (магистратура, аспирантура)";"Один/одна";"Москва или Санкт-Петербург";"Живем комфортно, почти на все хватает";"Редко (несколько раз в год)";"Редко";"Редко";"Опция Б: LED лампочка за 200 рублей — сначала дороже, но экономит электричество (~5 руб. в год на счетах). За 10 лет окупится.";"Согласен/согласна";"Да, если я буду часто ходить туда и мне понравится ассортимент";"Затрудняюсь ответить / зависит от ситуации";"Я начинаю считать, но потом всё равно беру то, что привык(ла) покупать";"Немного (10–30%)";"Скорее да";"Слабо важно";"Лень / нет времени / забываю;Это неудобно / нужно искать специальные магазины"
"26.01.2026 16:20";"26-28 лет";"Женский";"Высшее (бакалавриат)";"С партнером/партнершей (без детей)";"Москва или Санкт-Петербург";"Живем комфортно, почти на все хватает";"Редко (несколько раз в год)";"Иногда";"Часто";"Опция Б: LED лампочка за 200 рублей — сначала дороже, но экономит электричество (~5 руб. в год на счетах). За 10 лет окупится.";"Не согласен/не согласна";"Да, если я буду часто ходить туда и мне понравится ассортимент";"Покупаю новые вещи/гаджеты довольно часто — они выглядят актуально и показывают мой статус";"Я выбираю на основе логики и расчётов (даже если LED-лампочка дороже, я посчитаю экономию за годы)";"Немного (10–30%)";"Скорее да";"Нейтрально";"Лень / нет времени / забываю;Не верю, что это реально помогает;Просто не думаю об этом"
"28.01.2026 11:37";"29-35 лет";"Женский";"Высшее (бакалавриат)";"С партнером/партнершей (без детей)";"Москва или Санкт-Петербург";"Живем комфортно, почти на все хватает";"Редко (несколько раз в год)";"Иногда";"Постоянно";"Опция Б: LED лампочка за 200 рублей — сначала дороже, но экономит электричество (~5 руб. в год на счетах). За 10 лет окупится.";"Согласен/согласна";"Да, если я буду часто ходить туда и мне понравится ассортимент";"Покупаю новые вещи редко, но когда покупаю, выбираю качественные товары, которые долго служат";"Зависит от товара и ситуации";"Немного (10–30%)";"Скорее да";"Не важно вообще — я выбираю только для себя";"Нет инфраструктуры (баков для раздельного сбора в моем районе)"
"28.01.2026 22:06";"26-28 лет";"Мужской";"Высшее (магистратура, аспирантура)";"С партнером/партнершей (без детей)";"Москва или Санкт-Петербург";"Живем комфортно, почти на все хватает";"Постоянно (каждый день)";"Никогда";"Постоянно";"Опция Б: LED лампочка за 200 рублей — сначала дороже, но экономит электричество (~5 руб. в год на счетах). За 10 лет окупится.";"Не согласен/не согласна";"Да, если я буду часто ходить туда и мне понравится ассортимент";"Стараюсь не покупать лишнее, предпочитаю многоразовые вещи, даже если они выглядят менее «модно»";"Я выбираю на основе логики и расчётов (даже если LED-лампочка дороже, я посчитаю экономию за годы)";"Немного (10–30%)";"Очень вероятно — если все делают, то и я начну";"Нейтрально";"Это неудобно / нужно искать специальные магазины"
"29.01.2026 8:21";"29-35 лет";"Женский";"Высшее (бакалавриат)";"С партнером/партнершей (без детей)";"Москва или Санкт-Петербург";"Живем комфортно, почти на все хватает";"Постоянно (каждый день)";"Никогда";"Часто";"Опция Б: LED лампочка за 200 рублей — сначала дороже, но экономит электричество (~5 руб. в год на счетах). За 10 лет окупится.";"Согласен/согласна";"Нет, удобство важнее";"Затрудняюсь ответить / зависит от ситуации";"Зависит от товара и ситуации";"Почти никто (0–10%)";"Очень вероятно — если все делают, то и я начну";"Не важно вообще — я выбираю только для себя";NA
"29.01.2026 11:20";"26-28 лет";"Женский";"Высшее (магистратура, аспирантура)";"Один/одна";"Москва или Санкт-Петербург";"Живем комфортно, почти на все хватает";"Никогда";"Редко";"Часто";"Опция А: Обычная лампочка за 50 рублей — она ярче, но потребляет больше электричества (~30 руб. в год на счетах)";"Согласен/согласна";"Нет, удобство важнее";"Покупаю новые вещи редко, но когда покупаю, выбираю качественные товары, которые долго служат";"Я выбираю интуитивно и быстро — нравится товар, куплю его, лишние расчёты — трата времени";"Почти никто (0–10%)";"Скорее да";"Нейтрально";"Нет инфраструктуры (баков для раздельного сбора в моем районе);Лень / нет времени / забываю"
"06.02.2026 14:07";"26-28 лет";"Мужской";"Высшее (бакалавриат)";"С партнером/партнершей (без детей)";"Москва или Санкт-Петербург";"Можем позволить себе одежду, но не можем позволить себе дорогие товары";"Никогда";"Никогда";"Постоянно";"Опция Б: LED лампочка за 200 рублей — сначала дороже, но экономит электричество (~5 руб. в год на счетах). За 10 лет окупится.";"Не согласен/не согласна";"Нет, удобство важнее";"Покупаю новые вещи редко, но когда покупаю, выбираю качественные товары, которые долго служат";"Зависит от товара и ситуации";"Почти никто (0–10%)";"Скорее нет";"Слабо важно";"Это неудобно / нужно искать специальные магазины"
"06.02.2026 14:14";"26-28 лет";"Женский";"Высшее (магистратура, аспирантура)";"В большой семье (с родителями, бабушками/дедушками)";"Москва или Санкт-Петербург";"Живем комфортно, почти на все хватает";"Никогда";"Никогда";"Часто";"Опция Б: LED лампочка за 200 рублей — сначала дороже, но экономит электричество (~5 руб. в год на счетах). За 10 лет окупится.";"Согласен/согласна";"Да, если я буду часто ходить туда и мне понравится ассортимент";"Покупаю новые вещи редко, но когда покупаю, выбираю качественные товары, которые долго служат";"Я выбираю на основе логики и расчётов (даже если LED-лампочка дороже, я посчитаю экономию за годы)";"Немного (10–30%)";"Скорее нет";"Нейтрально";"Лень / нет времени / забываю"
"06.02.2026 17:05";"18-22 года";"Женский";"Высшее (бакалавриат)";"Один/одна";"Москва или Санкт-Петербург";"Живем комфортно, почти на все хватает";"Иногда (несколько раз в месяц)";"Иногда";"Часто";"Опция Б: LED лампочка за 200 рублей — сначала дороже, но экономит электричество (~5 руб. в год на счетах). За 10 лет окупится.";"Согласен/согласна";"Да, если я буду часто ходить туда и мне понравится ассортимент";"Покупаю новые вещи редко, но когда покупаю, выбираю качественные товары, которые долго служат";"Я выбираю на основе логики и расчётов (даже если LED-лампочка дороже, я посчитаю экономию за годы)";"Немного (10–30%)";"Нейтрально / затрудняюсь ответить";"Нейтрально";"Лень / нет времени / забываю"
